> Output metrics for KIDSpec Simulation of object HD212442

Date run: 2022-03-18 13:43:12.343002 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 60 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 241.5 /mm 

Number of spectral pixels in each arm: 3200 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 30 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> N/A 
B --> 7.944673698523132 
V --> 7.383696992299125 
R --> 7.277971990081985 
I --> 7.283960993379061 
Z --> 7.16397736429389 
Y --> 7.1436008017933625 
J --> 6.522886588640718 
H --> N/A 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 10 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 4278 - 5878 
Recreated spectrum resolution average: 5078 +/- 799 
Average residuals: (7.374 +/- 2.591)% 
R value: 0.965 
Average SNR: 1087.200 +/- 0.000 
Percentage of photons which were misidentified (total): 0.00017873
Percentage of photons which were misidentified (average per pixel): 0.00000966

Simulation run duration: 0:06:34.201312 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 154 :   5253458 / 60000 photons
Pixel Number 155 :   5454157 / 60000 photons
Pixel Number 156 :   5345309 / 60000 photons
Pixel Number 157 :   5351762 / 60000 photons
Pixel Number 158 :   5343474 / 60000 photons
Pixel Number 159 :   5563858 / 60000 photons
Pixel Number 160 :   5260722 / 60000 photons
Pixel Number 161 :   5465287 / 60000 photons
Pixel Number 162 :   5264773 / 60000 photons
Pixel Number 163 :   5475865 / 60000 photons
Pixel Number 164 :   5377232 / 60000 photons
Pixel Number 165 :   5381529 / 60000 photons
Pixel Number 166 :   5387857 / 60000 photons
Pixel Number 167 :   5399173 / 60000 photons
Pixel Number 168 :   5406251 / 60000 photons
Pixel Number 169 :   5494300 / 60000 photons
Pixel Number 170 :   5405458 / 60000 photons
Pixel Number 171 :   5418071 / 60000 photons
Pixel Number 172 :   5538040 / 60000 photons
Pixel Number 173 :   5326547 / 60000 photons
Pixel Number 174 :   5545888 / 60000 photons
Pixel Number 175 :   5337006 / 60000 photons
Pixel Number 176 :   5562688 / 60000 photons
Pixel Number 177 :   5454250 / 60000 photons
Pixel Number 178 :   5471863 / 60000 photons
Pixel Number 179 :   5460900 / 60000 photons
Pixel Number 180 :   5665795 / 60000 photons
Pixel Number 181 :   5372281 / 60000 photons
Pixel Number 182 :   5591679 / 60000 photons
Pixel Number 183 :   5374848 / 60000 photons
Pixel Number 184 :   5604403 / 60000 photons
Pixel Number 185 :   5479616 / 60000 photons
Pixel Number 186 :   5500788 / 60000 photons
Pixel Number 187 :   5511075 / 60000 photons
Pixel Number 188 :   5605034 / 60000 photons
Pixel Number 189 :   5395725 / 60000 photons
Pixel Number 190 :   5708509 / 60000 photons
Pixel Number 191 :   5419923 / 60000 photons
Pixel Number 192 :   5623213 / 60000 photons
Pixel Number 193 :   5511630 / 60000 photons
Pixel Number 194 :   5518062 / 60000 photons
Pixel Number 195 :   5536030 / 60000 photons
Pixel Number 196 :   5634387 / 60000 photons
Pixel Number 197 :   5432083 / 60000 photons
Pixel Number 198 :   5642124 / 60000 photons
Pixel Number 199 :   5447162 / 60000 photons
Pixel Number 200 :   5756267 / 60000 photons
Pixel Number 201 :   5556727 / 60000 photons
Pixel Number 202 :   5561382 / 60000 photons
Pixel Number 203 :   5562735 / 60000 photons
Pixel Number 204 :   5567713 / 60000 photons
Pixel Number 205 :   5558527 / 60000 photons
Pixel Number 206 :   5674786 / 60000 photons
Pixel Number 207 :   5457110 / 60000 photons
Pixel Number 208 :   5657074 / 60000 photons
Pixel Number 209 :   5589429 / 60000 photons
Pixel Number 210 :   5574032 / 60000 photons
Pixel Number 211 :   5667972 / 60000 photons
Pixel Number 212 :   5552635 / 60000 photons
Pixel Number 213 :   5529094 / 60000 photons
Pixel Number 214 :   5596366 / 60000 photons
Pixel Number 215 :   5419464 / 60000 photons
Pixel Number 216 :   5639833 / 60000 photons
Pixel Number 217 :   5540184 / 60000 photons
Pixel Number 218 :   5499114 / 60000 photons
Pixel Number 219 :   5525844 / 60000 photons
Pixel Number 220 :   5500823 / 60000 photons
Pixel Number 221 :   5600458 / 60000 photons
Pixel Number 222 :   5593442 / 60000 photons
Pixel Number 223 :   5380731 / 60000 photons
Pixel Number 224 :   5558920 / 60000 photons
Pixel Number 225 :   5356985 / 60000 photons
Pixel Number 226 :   5527762 / 60000 photons
Pixel Number 227 :   5485444 / 60000 photons
Pixel Number 228 :   5362477 / 60000 photons
Pixel Number 229 :   5352472 / 60000 photons
Pixel Number 230 :   5417079 / 60000 photons
Pixel Number 231 :   5189231 / 60000 photons
Pixel Number 232 :   5441189 / 60000 photons
Pixel Number 233 :   5129785 / 60000 photons
Pixel Number 234 :   5307610 / 60000 photons
Pixel Number 235 :   5176177 / 60000 photons
Pixel Number 236 :   5066485 / 60000 photons
Pixel Number 237 :   5066919 / 60000 photons
Pixel Number 238 :   5095020 / 60000 photons
Pixel Number 239 :   4891611 / 60000 photons
Pixel Number 240 :   5065661 / 60000 photons
Pixel Number 241 :   4880644 / 60000 photons
Pixel Number 242 :   5124928 / 60000 photons
Pixel Number 243 :   5123283 / 60000 photons
Pixel Number 244 :   4984093 / 60000 photons
Pixel Number 245 :   5221648 / 60000 photons
Pixel Number 246 :   5188204 / 60000 photons
Pixel Number 247 :   5228869 / 60000 photons
Pixel Number 248 :   5317267 / 60000 photons
Pixel Number 249 :   5332976 / 60000 photons
Pixel Number 250 :   5401714 / 60000 photons
Pixel Number 251 :   5517858 / 60000 photons
Pixel Number 252 :   5472596 / 60000 photons
Pixel Number 253 :   5613032 / 60000 photons
Pixel Number 254 :   5445556 / 60000 photons
Pixel Number 255 :   5665884 / 60000 photons
Pixel Number 256 :   5611359 / 60000 photons
Pixel Number 257 :   5603310 / 60000 photons
Pixel Number 258 :   5651644 / 60000 photons
Pixel Number 259 :   5768054 / 60000 photons
Pixel Number 260 :   5584292 / 60000 photons
Pixel Number 261 :   5828372 / 60000 photons
Pixel Number 262 :   5626772 / 60000 photons
Pixel Number 263 :   5960423 / 60000 photons
Pixel Number 264 :   5770674 / 60000 photons
Pixel Number 265 :   5769680 / 60000 photons
Pixel Number 266 :   5807810 / 60000 photons
Pixel Number 267 :   5888912 / 60000 photons
Pixel Number 268 :   5716291 / 60000 photons
Pixel Number 269 :   5947267 / 60000 photons
Pixel Number 270 :   5739332 / 60000 photons
Pixel Number 271 :   5944611 / 60000 photons
Pixel Number 272 :   5868230 / 60000 photons
Pixel Number 273 :   5967725 / 60000 photons
Pixel Number 274 :   5876591 / 60000 photons
Pixel Number 275 :   5830123 / 60000 photons
Pixel Number 276 :   5866902 / 60000 photons
Pixel Number 277 :   5974454 / 60000 photons
Pixel Number 278 :   5762197 / 60000 photons
Pixel Number 279 :   5978122 / 60000 photons
Pixel Number 280 :   5871148 / 60000 photons
Pixel Number 281 :   5901390 / 60000 photons
Pixel Number 282 :   5905562 / 60000 photons
Pixel Number 283 :   5937330 / 60000 photons
Pixel Number 284 :   6052844 / 60000 photons
Pixel Number 285 :   6057452 / 60000 photons
Pixel Number 286 :   5838966 / 60000 photons
Pixel Number 287 :   6065284 / 60000 photons
Pixel Number 288 :   5993098 / 60000 photons
Pixel Number 289 :   5978010 / 60000 photons
Pixel Number 290 :   5992621 / 60000 photons
Pixel Number 291 :   5983313 / 60000 photons
Pixel Number 292 :   5993029 / 60000 photons
Pixel Number 293 :   6098753 / 60000 photons
Pixel Number 294 :   6007371 / 60000 photons
Pixel Number 295 :   6108973 / 60000 photons
Pixel Number 296 :   6034046 / 60000 photons
Pixel Number 297 :   6027136 / 60000 photons
Pixel Number 298 :   6048813 / 60000 photons
Pixel Number 299 :   6054943 / 60000 photons
Pixel Number 300 :   6057402 / 60000 photons
Pixel Number 301 :   6202457 / 60000 photons
Pixel Number 302 :   6000752 / 60000 photons
Pixel Number 303 :   6221219 / 60000 photons
Pixel Number 304 :   6006123 / 60000 photons
Pixel Number 305 :   6295667 / 60000 photons
Pixel Number 306 :   5513009 / 60000 photons
Pixel Number 307 :   5230484 / 60000 photons
Pixel Number 308 :   4940248 / 60000 photons
Pixel Number 309 :   4960815 / 60000 photons
Pixel Number 310 :   4929217 / 60000 photons
Pixel Number 311 :   5140013 / 60000 photons
Pixel Number 312 :   4751495 / 60000 photons
Pixel Number 313 :   4937172 / 60000 photons
Pixel Number 314 :   4618386 / 60000 photons
Pixel Number 315 :   4892640 / 60000 photons
Pixel Number 316 :   4493722 / 60000 photons
Pixel Number 317 :   4689802 / 60000 photons
Pixel Number 318 :   4541493 / 60000 photons
Pixel Number 319 :   4599152 / 60000 photons
Pixel Number 320 :   4678483 / 60000 photons
Pixel Number 321 :   4582581 / 60000 photons
Pixel Number 322 :   4727541 / 60000 photons
Pixel Number 323 :   4724707 / 60000 photons
Pixel Number 324 :   4793565 / 60000 photons
Pixel Number 325 :   4755789 / 60000 photons
Pixel Number 326 :   5088681 / 60000 photons
Pixel Number 327 :   4940984 / 60000 photons
