obs_wl_air(nm),intens,Aki(s^-1),Acc,Type,
"=""765.216""","=""3h""","=""""",,,
"=""768.52459""","=""400""","=""4.064e+07""",AA,,
"=""769.45401""","=""500""","=""4.27e+06""",A,,
"=""770.335""","=""2""","=""""",,,
"=""770.896""","=""1""","=""""",,,
"=""771.20""","=""1h""","=""""",,,
"=""774.137""","=""10""","=""4.6e+05""",D+,,
"=""774.6828""","=""50""","=""1.18e+07""",C+,,
"=""774.916""","=""3""","=""9.2e+04""",D,,
"=""776.589""","=""1""","=""""",,,
"=""776.843""","=""5""","=""1.03e+05""",D,,
"=""777.240""","=""5h""","=""""",,,
"=""777.628""","=""40""","=""8.8e+05""",D+,,
"=""778.666""","=""2""","=""""",,,
"=""780.652""","=""50""","=""2.25e+06""",D+,,
"=""783.021""","=""2h""","=""""",,,
"=""784.001""","=""8h""","=""""",,,
"=""784.040""","=""4""","=""""",,,
"=""785.48233""","=""200""","=""2.041e+07""",A,,
"=""786.391""","=""20""","=""2.68e+05""",C,,
"=""787.193""","=""2""","=""""",,,
"=""788.176""","=""30""","=""""",,,
"=""788.236""","=""10""","=""1.73e+05""",D+,,
"=""790.462""","=""30""","=""1.05e+06""",D+,,
"=""791.34251""","=""50""","=""4.9e+06""",D+,,
"=""792.047""","=""40""","=""6.1e+05""",D+,,
"=""792.85988""","=""40""","=""7.7e+06""",D+,,
"=""793.834""","=""2""","=""""",,,
"=""794.699""","=""20""","=""4.2e+05""",D+,,
"=""795.767""","=""2""","=""""",,,
"=""796.262""","=""1""","=""""",,,
"=""798.119""","=""20""","=""""",,,
"=""798.182""","=""30""","=""""",,,
"=""798.2406""","=""10""","=""1.42e+06""",C,,
"=""799.078""","=""2""","=""""",,,
"=""799.312""","=""5""","=""""",,,
