element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Th,1,"=""537.2230""","=""0.0003""","=""4""","=""""",,"=""4""","=""3""",,
Th,1,"=""537.24555""","=""0.00007""","=""49*""","=""""",,"=""4""","=""3""",,
Th,1,"=""537.270280""","=""0.000012""","=""820""","=""""",,"=""3""","=""4""",,
Th,1,"=""537.33936""","=""0.00006""","=""66""","=""""",,"=""1""","=""1""",,
Th,1,"=""537.46351""","=""0.00006""","=""60""","=""""",,"=""6""","=""6""",,
Th,1,"=""537.482177""","=""0.000007""","=""1800""","=""""",,"=""1""","=""0""",,
Th,1,"=""537.49985""","=""0.00004""","=""150""","=""""",,"=""4""","=""3""",,
Th,1,"=""537.54972""","=""0.00006""","=""54""","=""""",,"=""5""","=""4""",,
Th,1,"=""537.6366""","=""0.0003""","=""9""","=""""",,"=""4""","=""3""",,
Th,1,"=""537.6600""","=""0.0003""","=""19""","=""""",,"=""3""","=""2""",,
Th,1,"=""537.678090""","=""0.000012""","=""820""","=""""",,"=""3""","=""3""",,
Th,1,"=""537.79697""","=""0.00007""","=""50""","=""""",,"=""4""","=""3""",,
Th,1,"=""537.81696""","=""0.00004""","=""140""","=""""",,"=""5""","=""4""",,
Th,1,"=""537.883571""","=""0.000007""","=""1800""","=""""",,"=""6""","=""6""",,
Th,1,"=""537.911036""","=""0.000004""","=""3300""","=""""",,"=""4""","=""5""",,
Th,1,"=""537.91835""","=""0.00017""","=""73""","=""""",,"=""2""","=""3""",,
Th,1,"=""537.92822""","=""0.00009""","=""41""","=""""",,"=""1""","=""1""",,
Th,1,"=""537.93346""","=""0.00023""","=""28""","=""""",,"=""3""","=""2""",,
Th,1,"=""537.98849""","=""0.00009""","=""27""","=""""",,"=""3""","=""4""",,
Th,1,"=""538.13709""","=""0.00004""","=""140""","=""""",,"=""3""","=""4""",,
Th,1,"=""538.21752""","=""0.00005""","=""89""","=""""",,"=""4""","=""4""",,
Th,1,"=""538.22314""","=""0.00007""","=""46""","=""""",,"=""1""","=""2""",,
Th,1,"=""538.25339""","=""0.00023""","=""33""","=""""",,"=""2""","=""1""",,
Th,1,"=""538.2636""","=""0.0003""","=""19""","=""""",,"=""4""","=""3""",,
Th,1,"=""538.30546""","=""0.00007""","=""52""","=""""",,"=""2""","=""2""",,
Th,1,"=""538.43012""","=""0.00003""","=""270""","=""""",,"=""5""","=""4""",,
Th,1,"=""538.5013""","=""0.0003""","=""16""","=""""",,"=""4""","=""4 or 5""",,
Th,1,"=""538.50746""","=""0.00009""","=""37""","=""""",,"=""5""","=""4""",,
Th,1,"=""538.5364""","=""0.0004""","=""5""","=""""",,"=""6""","=""5 or 6""",,
Th,1,"=""538.61115""","=""0.00009""","=""33""","=""""",,"=""1""","=""1""",,
Th,1,"=""538.6149""","=""0.0003""","=""10""","=""""",,"=""2""","=""2""",,
Th,1,"=""538.661051""","=""0.000004""","=""4700bl""","=""""",,"=""4""","=""3""",,
Th,1,"=""538.71521""","=""0.00005""","=""120""","=""""",,"=""2""","=""1""",,
Th,1,"=""538.73224""","=""0.00009""","=""29""","=""""",,"=""7""","=""6 or 7""",,
Th,1,"=""538.805076""","=""0.000020""","=""750""","=""""",,"=""3""","=""2""",,
Th,1,"=""539.042556""","=""0.000005""","=""2400""","=""""",,"=""3""","=""4""",,
Th,1,"=""539.0575""","=""0.0003""","=""11""","=""""",,"=""3""","=""4""",,
Th,1,"=""539.07582""","=""0.00015""","=""130""","=""""",,"=""4""","=""3""",,
Th,1,"=""539.2768""","=""0.0003""","=""15""","=""""",,"=""4""","=""4""",,
Th,1,"=""539.2894""","=""0.0003""","=""20""","=""""",,"=""4""","=""3""",,
Th,1,"=""539.31767""","=""0.00005""","=""100""","=""""",,"=""2""","=""3""",,
Th,1,"=""539.3259""","=""0.0003""","=""17""","=""""",,"=""5""","=""6""",,
Th,1,"=""539.38737""","=""0.00004""","=""180""","=""""",,"=""4""","=""5""",,
Th,1,"=""539.397182""","=""0.000012""","=""850""","=""""",,"=""3""","=""3""",,
Th,1,"=""539.476065""","=""0.000004""","=""4100""","=""""",,"=""1""","=""1""",,
Th,1,"=""539.52472""","=""0.00009""","=""27""","=""""",,"=""4""","=""4""",,
Th,1,"=""539.61127""","=""0.00004""","=""140""","=""""",,"=""4""","=""4""",,
Th,1,"=""539.6422""","=""0.0003""","=""24""","=""""",,"=""7""","=""6 or 7""",,
Th,1,"=""539.71306""","=""0.00015""","=""130""","=""""",,"=""1""","=""2""",,
Th,1,"=""539.7445""","=""0.0003""","=""28""","=""""",,"=""3""","=""2""",,
Th,1,"=""539.7499""","=""0.0003""","=""11""","=""""",,"=""3""","=""4""",,
Th,1,"=""539.7731""","=""0.0003""","=""5""","=""""",,"=""2""","=""2""",,
Th,1,"=""539.78845""","=""0.00006""","=""64""","=""""",,"=""4""","=""3""",,
Th,1,"=""539.82047""","=""0.00003""","=""330""","=""""",,"=""2""","=""3""",,
Th,1,"=""539.85096""","=""0.00007""","=""46""","=""""",,"=""5""","=""5""",,
Th,1,"=""539.870147""","=""0.000009""","=""1300""","=""""",,"=""2""","=""1""",,
Th,1,"=""539.89005""","=""0.00005""","=""210""","=""""",,"=""4""","=""3""",,
Th,1,"=""539.892207""","=""0.000012""","=""940""","=""""",,"=""4""","=""5""",,
Th,1,"=""539.917439""","=""0.000007""","=""1800""","=""""",,"=""5""","=""5""",,
Th,1,"=""539.9427""","=""0.0003""","=""45""","=""""",,"=""3""","=""2""",,
Th,1,"=""539.96218""","=""0.00003""","=""350""","=""""",,"=""3""","=""4""",,
Th,1,"=""540.01456""","=""0.00003""","=""430""","=""""",,"=""3""","=""4""",,
Th,1,"=""540.07761""","=""0.00009""","=""36""","=""""",,"=""3""","=""2""",,
Th,1,"=""540.15354""","=""0.00006""","=""57""","=""""",,"=""4""","=""4""",,
Th,1,"=""540.15853""","=""0.00009""","=""32""","=""""",,"=""2""","=""2""",,
Th,1,"=""540.1887""","=""0.0004""","=""4""","=""""",,"=""3""","=""4""",,
Th,1,"=""540.22768""","=""0.00007""","=""44""","=""""",,"=""5""","=""5""",,
Th,1,"=""540.319931""","=""0.000020""","=""760""","=""""",,"=""4""","=""5""",,
Th,1,"=""540.4704""","=""0.0003""","=""23""","=""""",,"=""4""","=""3""",,
Th,1,"=""540.5660""","=""0.0003""","=""22""","=""""",,"=""3""","=""2""",,
Th,1,"=""540.57869""","=""0.00007""","=""48""","=""""",,"=""4""","=""4""",,
Th,1,"=""540.67553""","=""0.00004""","=""220""","=""""",,"=""2""","=""3""",,
Th,1,"=""540.75615""","=""0.00015""","=""99""","=""""",,"=""3""","=""2""",,
Th,1,"=""540.765355""","=""0.000004""","=""4900""","=""""",,"=""5""","=""5""",,
Th,1,"=""540.87486""","=""0.00005""","=""88""","=""""",,"=""4""","=""3""",,
Th,1,"=""540.88642""","=""0.00006""","=""53""","=""""",,"=""2""","=""1""",,
Th,1,"=""540.9304""","=""0.0003""","=""23""","=""""",,"=""6""","=""5""",,
Th,1,"=""540.9603""","=""0.0003""","=""11""","=""""",,"=""1""","=""2""",,
Th,1,"=""540.9935""","=""0.0004""","=""6""","=""""",,"=""4""","=""5""",,
Th,1,"=""541.03148""","=""0.00009""","=""36""","=""""",,"=""2""","=""1""",,
Th,1,"=""541.076878""","=""0.000004""","=""3700""","=""""",,"=""2""","=""1""",,
Th,1,"=""541.13111""","=""0.00023""","=""26""","=""""",,"=""4""","=""3""",,
Th,1,"=""541.1406""","=""0.0003""","=""17""","=""""",,"=""3""","=""3""",,
Th,1,"=""541.26708""","=""0.00009""","=""38""","=""""",,"=""3""","=""2""",,
Th,1,"=""541.2947""","=""0.0004""","=""4""","=""""",,"=""3""","=""2""",,
Th,1,"=""541.32502""","=""0.00009""","=""28""","=""""",,"=""5""","=""4""",,
Th,1,"=""541.38064""","=""0.00006""","=""80bl""","=""""",,"=""1""","=""2""",,
Th,1,"=""541.39184""","=""0.00006""","=""77""","=""""",,"=""4""","=""4""",,
Th,1,"=""541.45246""","=""0.00005""","=""93*""","=""""",,"=""2""","=""2""",,
Th,1,"=""541.4920""","=""0.0003""","=""28""","=""""",,"=""4""","=""3""",,
Th,1,"=""541.5124""","=""0.0003""","=""13""","=""""",,"=""5""","=""4""",,
Th,1,"=""541.552259""","=""0.000007""","=""1600""","=""""",,"=""4""","=""4""",,
Th,1,"=""541.55622""","=""0.00015""","=""120""","=""""",,"=""2""","=""2""",,
Th,1,"=""541.5711""","=""0.0003""","=""46""","=""""",,"=""2""","=""1""",,
Th,1,"=""541.57719""","=""0.00021""","=""41""","=""""",,"=""1""","=""2""",,
Th,1,"=""541.71888""","=""0.00009""","=""27""","=""""",,"=""5""","=""5""",,
Th,1,"=""541.72930""","=""0.00007""","=""48""","=""""",,"=""4""","=""3""",,
Th,1,"=""541.748576""","=""0.000003""","=""12000""","=""""",,"=""2""","=""3""",,
Th,1,"=""541.78079""","=""0.00005""","=""98""","=""""",,"=""2""","=""3""",,
Th,1,"=""541.80792""","=""0.00009""","=""30""","=""""",,"=""2""","=""2""",,
Th,1,"=""541.82225""","=""0.00007""","=""51""","=""""",,"=""3""","=""2""",,
Th,1,"=""541.8702""","=""0.0003""","=""17""","=""""",,"=""2""","=""2""",,
Th,1,"=""541.91285""","=""0.00003""","=""340""","=""""",,"=""5""","=""5""",,
Th,1,"=""541.9463""","=""0.0003""","=""5""","=""""",,"=""3""","=""3""",,
Th,1,"=""542.02266""","=""0.00009""","=""26*""","=""""",,"=""3""","=""2""",,
Th,1,"=""542.02266""","=""0.00009""","=""26*""","=""""",,"=""4""","=""3""",,
Th,1,"=""542.0451""","=""0.0003""","=""23""","=""""",,"=""4""","=""3""",,
Ar,1,"=""542.1352""","=""0.0010""","=""5""","=""6.0e+05""",D,"=""3""","=""2""",,
Th,1,"=""542.16628""","=""0.00003""","=""240""","=""""",,"=""3""","=""2""",,
Th,1,"=""542.1966""","=""0.0003""","=""29""","=""""",,"=""5""","=""4""",,
Th,1,"=""542.2250""","=""0.0003""","=""11""","=""""",,"=""2""","=""3""",,
Th,1,"=""542.2847""","=""0.0003""","=""46""","=""""",,"=""3""","=""3""",,
Th,1,"=""542.29151""","=""0.00009""","=""42""","=""""",,"=""3""","=""3""",,
Th,1,"=""542.3323""","=""0.0003""","=""18""","=""""",,"=""4""","=""3""",,
Th,1,"=""542.34470""","=""0.00005""","=""99""","=""""",,"=""4""","=""5""",,
Th,1,"=""542.35035""","=""0.00005""","=""110""","=""""",,"=""4""","=""5""",,
Th,1,"=""542.400780""","=""0.000005""","=""2500""","=""""",,"=""4""","=""4""",,
Th,1,"=""542.41397""","=""0.00005""","=""100*""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""542.43702""","=""0.00009""","=""27""","=""""",,"=""2""","=""2""",,
Th,1,"=""542.47296""","=""0.00005""","=""110""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""542.61705""","=""0.00005""","=""90""","=""""",,"=""0""","=""1""",,
Th,1,"=""542.64075""","=""0.00003""","=""370""","=""""",,"=""2""","=""2""",,
Th,1,"=""542.6574""","=""0.0003""","=""57""","=""""",,"=""4""","=""4""",,
Th,1,"=""542.66221""","=""0.00009""","=""33""","=""""",,"=""4""","=""3""",,
Th,1,"=""542.7352""","=""0.0003""","=""11""","=""""",,"=""3""","=""3""",,
Th,1,"=""542.74768""","=""0.00009""","=""31""","=""""",,"=""4""","=""5""",,
Th,1,"=""542.76207""","=""0.00005""","=""120""","=""""",,"=""4""","=""5""",,
Th,1,"=""542.77679""","=""0.00009""","=""35""","=""""",,"=""5""","=""4""",,
Th,1,"=""542.79061""","=""0.00009""","=""28""","=""""",,"=""4""","=""4""",,
Th,1,"=""542.8069""","=""0.0003""","=""57""","=""""",,"=""4""","=""4""",,
Th,1,"=""542.91048""","=""0.00004""","=""210""","=""""",,"=""3""","=""3""",,
Th,1,"=""543.0121""","=""0.0003""","=""17""","=""""",,"=""2""","=""3""",,
Th,1,"=""543.0560""","=""0.0003""","=""16""","=""""",,"=""3""","=""2""",,
Th,1,"=""543.05978""","=""0.00006""","=""60""","=""""",,"=""1""","=""1""",,
Th,1,"=""543.08055""","=""0.00009""","=""26""","=""""",,"=""3""","=""3""",,
Th,1,"=""543.111180""","=""0.000005""","=""3100""","=""""",,"=""2""","=""3""",,
Th,1,"=""543.16054""","=""0.00005""","=""92""","=""""",,"=""2""","=""2""",,
Th,1,"=""543.2127""","=""0.0003""","=""11""","=""""",,"=""5""","=""4""",,
Th,1,"=""543.27377""","=""0.00009""","=""36""","=""""",,"=""4""","=""5""",,
Th,1,"=""543.27650""","=""0.00005""","=""92bl""","=""""",,"=""3""","=""2""",,
Th,1,"=""543.31292""","=""0.00009""","=""34""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""543.38767""","=""0.00006""","=""76""","=""""",,"=""3""","=""3""",,
Th,1,"=""543.415146""","=""0.000009""","=""1400""","=""""",,"=""4""","=""3""",,
Th,1,"=""543.6146""","=""0.0003""","=""6""","=""""",,"=""4""","=""4""",,
Th,1,"=""543.62319""","=""0.00007""","=""56""","=""""",,"=""5""","=""5""",,
Th,1,"=""543.6326""","=""0.0003""","=""12""","=""""",,"=""3""","=""4""",,
Th,1,"=""543.6814""","=""0.0003""","=""12""","=""""",,"=""3""","=""2""",,
Th,1,"=""543.72310""","=""0.00009""","=""25""","=""""",,"=""4""","=""5""",,
Th,1,"=""543.7949""","=""0.0003""","=""19""","=""""",,"=""1""","=""2""",,
Th,1,"=""543.81374""","=""0.00003""","=""310""","=""""",,"=""5""","=""6""",,
Th,1,"=""543.82515""","=""0.00007""","=""43""","=""""",,"=""3""","=""4""",,
Th,1,"=""543.9495""","=""0.0003""","=""12""","=""""",,"=""2""","=""2""",,
Th,1,"=""543.98518""","=""0.00003""","=""280""","=""""",,"=""7""","=""7""",,
Th,1,"=""544.0116""","=""0.0003""","=""24""","=""""",,"=""3""","=""3""",,
Th,1,"=""544.0375""","=""0.0003""","=""20""","=""""",,"=""3""","=""2""",,
Th,1,"=""544.060140""","=""0.000015""","=""680""","=""""",,"=""3""","=""4""",,
Th,1,"=""544.0796""","=""0.0003""","=""18""","=""""",,"=""3""","=""4""",,
Th,1,"=""544.10441""","=""0.00004""","=""120""","=""""",,"=""4""","=""4""",,
Th,1,"=""544.12145""","=""0.00003""","=""320""","=""""",,"=""3""","=""4""",,
Th,1,"=""544.23855""","=""0.00007""","=""51""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""544.3481""","=""0.0003""","=""6""","=""""",,"=""2""","=""3""",,
Th,1,"=""544.38257""","=""0.00007""","=""51""","=""""",,"=""2""","=""2""",,
Th,1,"=""544.38869""","=""0.00009""","=""25""","=""""",,"=""4""","=""5""",,
Th,1,"=""544.4421""","=""0.0003""","=""6""","=""""",,"=""3""","=""4""",,
Th,1,"=""544.44787""","=""0.00009""","=""36""","=""""",,"=""4""","=""3""",,
Th,1,"=""544.5177""","=""0.0003""","=""20""","=""""",,"=""3""","=""2""",,
Th,1,"=""544.63221""","=""0.00009""","=""39""","=""""",,"=""3""","=""2""",,
Th,1,"=""544.6425""","=""0.0003""","=""15""","=""""",,"=""4""","=""4""",,
Th,1,"=""544.68936""","=""0.00009""","=""28""","=""""",,"=""3""","=""2""",,
Th,1,"=""544.7071""","=""0.0003""","=""6""","=""""",,"=""5""","=""4""",,
Th,1,"=""544.7417""","=""0.0003""","=""12""","=""""",,"=""2""","=""3""",,
Th,1,"=""544.82719""","=""0.00004""","=""130""","=""""",,"=""2""","=""3""",,
Th,1,"=""544.96527""","=""0.00009""","=""39""","=""""",,"=""4""","=""3""",,
Th,1,"=""545.0019""","=""0.0003""","=""14""","=""""",,"=""2""","=""3""",,
Th,1,"=""545.01497""","=""0.00024""","=""28""","=""""",,"=""2""","=""1""",,
Th,1,"=""545.05104""","=""0.00006""","=""66""","=""""",,"=""5""","=""4""",,
Th,1,"=""545.06637""","=""0.00007""","=""49""","=""""",,"=""3""","=""3""",,
Th,1,"=""545.0740""","=""0.0003""","=""21""","=""""",,"=""5""","=""5""",,
Th,1,"=""545.0981""","=""0.0004""","=""6""","=""""",,"=""3""","=""3""",,
Th,1,"=""545.10896""","=""0.00007""","=""43""","=""""",,"=""4""","=""3""",,
Ar,1,"=""545.1652""","=""0.0010""","=""10""","=""4.7e+05""",D+,"=""1""","=""2""",,
Th,1,"=""545.221868""","=""0.000004""","=""3800""","=""""",,"=""5""","=""4""",,
Th,1,"=""545.26036""","=""0.00009""","=""26""","=""""",,"=""4""","=""5""",,
Th,1,"=""545.3080""","=""0.0003""","=""14""","=""""",,"=""5""","=""5""",,
Th,1,"=""545.3300""","=""0.0003""","=""21""","=""""",,"=""6""","=""5""",,
Th,1,"=""545.35780""","=""0.00009""","=""36""","=""""",,"=""5""","=""4""",,
Th,1,"=""545.3686""","=""0.0003""","=""25""","=""""",,"=""3""","=""3""",,
Th,1,"=""545.3757""","=""0.0003""","=""6""","=""""",,"=""2""","=""3""",,
Th,1,"=""545.49177""","=""0.00009""","=""25""","=""""",,"=""4""","=""4""",,
Th,1,"=""545.62530""","=""0.00006""","=""75""","=""""",,"=""2""","=""2""",,
Th,1,"=""545.6654""","=""0.0003""","=""51""","=""""",,"=""4""","=""3""",,
Th,1,"=""545.72907""","=""0.00003""","=""430""","=""""",,"=""3""","=""4""",,
Th,1,"=""545.8492""","=""0.0003""","=""6""","=""""",,"=""3""","=""3""",,
Th,1,"=""545.91690""","=""0.00009""","=""39""","=""""",,"=""2""","=""2""",,
Th,1,"=""546.1019""","=""0.0003""","=""32""","=""""",,"=""4""","=""4""",,
Th,1,"=""546.1314""","=""0.0003""","=""19""","=""""",,"=""4""","=""3""",,
Th,1,"=""546.16358""","=""0.00024""","=""26""","=""""",,"=""5""","=""4""",,
Th,1,"=""546.23372""","=""0.00004""","=""230""","=""""",,"=""5""","=""5""",,
Th,1,"=""546.33214""","=""0.00004""","=""150""","=""""",,"=""5""","=""6""",,
Th,1,"=""546.37697""","=""0.00005""","=""120""","=""""",,"=""1""","=""2""",,
Th,1,"=""546.420525""","=""0.000007""","=""1700""","=""""",,"=""3""","=""3""",,
Th,1,"=""546.5082""","=""0.0003""","=""23""","=""""",,"=""7""","=""6""",,
Th,1,"=""546.5268""","=""0.0003""","=""34""","=""""",,"=""3""","=""4""",,
Th,1,"=""546.53393""","=""0.00006""","=""76""","=""""",,"=""5""","=""6""",,
Th,1,"=""546.6010""","=""0.0003""","=""16""","=""""",,"=""3""","=""2""",,
Th,1,"=""546.6602""","=""0.0003""","=""34""","=""""",,"=""2""","=""1""",,
Th,1,"=""546.68059""","=""0.00007""","=""42*""","=""""",,"=""4""","=""5""",,
Th,1,"=""546.68059""","=""0.00007""","=""42*""","=""""",,"=""1""","=""1""",,
Th,1,"=""546.71704""","=""0.00005""","=""120""","=""""",,"=""5""","=""4""",,
Th,1,"=""546.7403""","=""0.0003""","=""34""","=""""",,"=""3""","=""4""",,
Th,1,"=""546.8166""","=""0.0003""","=""13""","=""""",,"=""4""","=""3""",,
Th,1,"=""546.8569""","=""0.0003""","=""6""","=""""",,"=""3""","=""2""",,
Th,1,"=""546.91965""","=""0.00009""","=""40""","=""""",,"=""3""","=""3""",,
Th,1,"=""547.01460""","=""0.00004""","=""170""","=""""",,"=""4""","=""4""",,
Th,1,"=""547.02439""","=""0.00009""","=""27""","=""""",,"=""6""","=""5""",,
Th,1,"=""547.075906""","=""0.000009""","=""1400""","=""""",,"=""4""","=""4""",,
Th,1,"=""547.25355""","=""0.00006""","=""66""","=""""",,"=""2""","=""3""",,
Th,1,"=""547.27040""","=""0.00009""","=""28*""","=""""",,"=""2""","=""3""",,
Th,1,"=""547.27040""","=""0.00009""","=""28*""","=""""",,"=""2""","=""2""",,
Th,1,"=""547.38511""","=""0.00024""","=""24""","=""""",,"=""4""","=""4""",,
Th,1,"=""547.3965""","=""0.0003""","=""10""","=""""",,"=""2""","=""2""",,
Th,1,"=""547.4145""","=""0.0003""","=""13""","=""""",,"=""1""","=""1""",,
Th,1,"=""547.473425""","=""0.000024""","=""430""","=""""",,"=""2""","=""2""",,
Th,1,"=""547.5759""","=""0.0003""","=""23""","=""""",,"=""3""","=""2""",,
Th,1,"=""547.64857""","=""0.00006""","=""63*""","=""""",,"=""1""","=""1""",,
Th,1,"=""547.64857""","=""0.00006""","=""63*""","=""""",,"=""1""","=""2""",,
Th,1,"=""547.75522""","=""0.00005""","=""120""","=""""",,"=""4""","=""4""",,
Th,1,"=""547.87446""","=""0.00005""","=""120""","=""""",,"=""2""","=""1""",,
Th,1,"=""547.8906""","=""0.0003""","=""20""","=""""",,"=""5""","=""6""",,
Th,1,"=""547.907512""","=""0.000024""","=""480""","=""""",,"=""2""","=""1""",,
Th,1,"=""547.9462""","=""0.0003""","=""57""","=""""",,"=""3""","=""2""",,
Th,1,"=""548.1211""","=""0.0003""","=""36""","=""""",,"=""0""","=""1""",,
Th,1,"=""548.14813""","=""0.00006""","=""70*""","=""""",,"=""5""","=""6""",,
Th,1,"=""548.1612""","=""0.0003""","=""14""","=""""",,"=""4""","=""4""",,
Th,1,"=""548.18309""","=""0.00024""","=""25""","=""""",,"=""3""","=""4""",,
Th,1,"=""548.25016""","=""0.00004""","=""190""","=""""",,"=""5""","=""4""",,
Th,1,"=""548.2911""","=""0.0003""","=""23""","=""""",,"=""4""","=""4""",,
Th,1,"=""548.31446""","=""0.00006""","=""59""","=""""",,"=""2""","=""1""",,
Th,1,"=""548.3623""","=""0.0003""","=""22""","=""""",,"=""2""","=""2""",,
Th,1,"=""548.3709""","=""0.0003""","=""14""","=""""",,"=""5""","=""4""",,
Th,1,"=""548.38863""","=""0.00009""","=""36""","=""""",,"=""3""","=""2""",,
Th,1,"=""548.44729""","=""0.00009""","=""35""","=""""",,"=""3""","=""4""",,
Th,1,"=""548.45597""","=""0.00005""","=""130""","=""""",,"=""3""","=""2""",,
Th,1,"=""548.4626""","=""0.0003""","=""14""","=""""",,"=""4""","=""5""",,
Th,1,"=""548.49928""","=""0.00006""","=""73""","=""""",,"=""4""","=""3""",,
Th,1,"=""548.5714""","=""0.0003""","=""29""","=""""",,"=""2""","=""1""",,
Th,1,"=""548.65028""","=""0.00012""","=""270""","=""""",,"=""3""","=""2""",,
Th,1,"=""548.75088""","=""0.00006""","=""60""","=""""",,"=""4""","=""4""",,
Th,1,"=""548.78415""","=""0.00005""","=""120""","=""""",,"=""3""","=""2""",,
Th,1,"=""548.79749""","=""0.00007""","=""57""","=""""",,"=""2""","=""3""",,
Th,1,"=""548.8208""","=""0.0003""","=""15""","=""""",,"=""5""","=""4""",,
Th,1,"=""548.87072""","=""0.00006""","=""66""","=""""",,"=""2""","=""3""",,
Th,1,"=""548.8795""","=""0.0003""","=""22""","=""""",,"=""2""","=""3""",,
Th,1,"=""548.89410""","=""0.00018""","=""30""","=""""",,"=""2""","=""3""",,
Th,1,"=""548.90885""","=""0.00003""","=""320""","=""""",,"=""3""","=""4""",,
Th,1,"=""549.23321""","=""0.00003""","=""290""","=""""",,"=""2""","=""3""",,
Th,1,"=""549.24107""","=""0.00003""","=""320""","=""""",,"=""4""","=""4""",,
Th,1,"=""549.264334""","=""0.000005""","=""2800""","=""""",,"=""3""","=""2""",,
Th,1,"=""549.29108""","=""0.00009""","=""35""","=""""",,"=""2""","=""2""",,
Th,1,"=""549.31549""","=""0.00007""","=""49""","=""""",,"=""5""","=""5""",,
Th,1,"=""549.320404""","=""0.000012""","=""970""","=""""",,"=""2""","=""3""",,
Th,1,"=""549.35942""","=""0.00009""","=""35""","=""""",,"=""1""","=""2""",,
Th,1,"=""549.39698""","=""0.00024""","=""34""","=""""",,"=""2""","=""1""",,
Th,1,"=""549.433059""","=""0.000009""","=""1300""","=""""",,"=""4""","=""3""",,
Th,1,"=""549.4625""","=""0.0003""","=""21""","=""""",,"=""3""","=""3""",,
Th,1,"=""549.4797""","=""0.0003""","=""15""","=""""",,"=""4""","=""4""",,
Ar,1,"=""549.5874""","=""0.0010""","=""25""","=""1.69e+06""",C,"=""3""","=""4""",,
Th,1,"=""549.613688""","=""0.000006""","=""2200""","=""""",,"=""1""","=""2""",,
Th,1,"=""549.7401""","=""0.0003""","=""15""","=""""",,"=""5""","=""4""",,
Th,1,"=""549.79981""","=""0.00008""","=""42""","=""""",,"=""5""","=""5""",,
Th,1,"=""549.87171""","=""0.00009""","=""32""","=""""",,"=""2""","=""3""",,
Th,1,"=""549.925521""","=""0.000003""","=""11000""","=""""",,"=""0""","=""1""",,
Th,1,"=""549.964763""","=""0.000015""","=""670""","=""""",,"=""1""","=""1""",,
Th,1,"=""550.00329""","=""0.00006""","=""75""","=""""",,"=""3""","=""2""",,
Th,1,"=""550.128149""","=""0.000021""","=""680""","=""""",,"=""2""","=""1""",,
Th,1,"=""550.17024""","=""0.00009""","=""36""","=""""",,"=""3""","=""4""",,
Th,1,"=""550.27193""","=""0.00009""","=""30""","=""""",,"=""4""","=""3""",,
Th,1,"=""550.30258""","=""0.00021""","=""38""","=""""",,"=""0""","=""1""",,
Th,1,"=""550.3387""","=""0.0004""","=""7""","=""""",,"=""3""","=""3""",,
Th,1,"=""550.3473""","=""0.0003""","=""23""","=""""",,"=""3""","=""3""",,
Th,1,"=""550.3698""","=""0.0003""","=""15""","=""""",,"=""3""","=""2""",,
Th,1,"=""550.430201""","=""0.000005""","=""2800""","=""""",,"=""2""","=""3""",,
Th,1,"=""550.5547""","=""0.0003""","=""15""","=""""",,"=""4""","=""5""",,
Th,1,"=""550.5934""","=""0.0003""","=""38""","=""""",,"=""4""","=""5""",,
Th,1,"=""550.6078""","=""0.0003""","=""38""","=""""",,"=""5""","=""5""",,
Ar,1,"=""550.6113""","=""0.0010""","=""5""","=""3.6e+05""",D+,"=""2""","=""3""",,
Th,1,"=""550.6423""","=""0.0003""","=""23""","=""""",,"=""3""","=""4""",,
Th,1,"=""550.6676""","=""0.0003""","=""7""","=""""",,"=""4""","=""5""",,
Th,1,"=""550.69196""","=""0.00003""","=""400""","=""""",,"=""5""","=""6""",,
Th,1,"=""550.7295""","=""0.0003""","=""7""","=""""",,"=""3""","=""2""",,
Th,1,"=""550.753854""","=""0.000015""","=""700""","=""""",,"=""4""","=""4""",,
Th,1,"=""550.75806""","=""0.00006""","=""72""","=""""",,"=""2""","=""3""",,
Th,1,"=""550.80516""","=""0.00009""","=""40""","=""""",,"=""4""","=""4""",,
Th,1,"=""550.855849""","=""0.000021""","=""540""","=""""",,"=""4""","=""4""",,
Th,1,"=""550.9102""","=""0.0003""","=""19""","=""""",,"=""5""","=""4""",,
Th,1,"=""550.999360""","=""0.000003""","=""5400""","=""""",,"=""5""","=""4""",,
Th,1,"=""551.03742""","=""0.00007""","=""56""","=""""",,"=""3""","=""3""",,
Th,1,"=""551.04974""","=""0.00005""","=""110""","=""""",,"=""3""","=""2""",,
Th,1,"=""551.10608""","=""0.00005""","=""120""","=""""",,"=""2""","=""1""",,
Th,1,"=""551.27003""","=""0.00007""","=""50""","=""""",,"=""3""","=""2""",,
Th,1,"=""551.3084""","=""0.0003""","=""15""","=""""",,"=""4""","=""4""",,
Th,1,"=""551.3370""","=""0.0003""","=""15""","=""""",,"=""5""","=""4""",,
Th,1,"=""551.487297""","=""0.000004""","=""3500""","=""""",,"=""4""","=""4""",,
Th,1,"=""551.5845""","=""0.0003""","=""31""","=""""",,"=""4""","=""3""",,
Th,1,"=""551.65845""","=""0.00009""","=""25""","=""""",,"=""5""","=""5""",,
Th,1,"=""551.7455""","=""0.0003""","=""31""","=""""",,"=""2""","=""2""",,
Th,1,"=""551.7618""","=""0.0003""","=""18""","=""""",,"=""3""","=""4""",,
