element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Th,1,"=""403.86360""","=""0.00005""","=""25""","=""""",,"=""2""","=""1""",,
Th,1,"=""403.902312""","=""0.000024""","=""150""","=""""",,"=""4""","=""4""",,
Th,1,"=""403.92687""","=""0.00003""","=""79""","=""""",,"=""4""","=""5""",,
Th,1,"=""403.93981""","=""0.00004""","=""53""","=""""",,"=""4""","=""5""",,
Th,1,"=""403.986469""","=""0.000011""","=""1300""","=""""",,"=""4""","=""5""",,
Th,1,"=""404.02215""","=""0.00005""","=""33""","=""""",,"=""6""","=""7""",,
Th,1,"=""404.09734""","=""0.00003""","=""98""","=""""",,"=""0""","=""1""",,
Th,1,"=""404.22680""","=""0.00005""","=""39""","=""""",,"=""3""","=""3""",,
Th,1,"=""404.29443""","=""0.00005""","=""21""","=""""",,"=""5""","=""4""",,
Th,1,"=""404.339461""","=""0.000005""","=""6200""","=""""",,"=""4""","=""3""",,
Ar,1,"=""404.4418""","=""0.0010""","=""50""","=""3.3e+05""",B,"=""1""","=""2""",,
Th,1,"=""404.451371""","=""0.000025""","=""150""","=""""",,"=""1""","=""1""",,
Th,1,"=""404.45394""","=""0.00004""","=""41""","=""""",,"=""4""","=""4""",,
Th,1,"=""404.492676""","=""0.000015""","=""510""","=""""",,"=""4""","=""5""",,
Th,1,"=""404.51612""","=""0.00005""","=""40""","=""""",,"=""3""","=""2""",,
Th,1,"=""404.522666""","=""0.000018""","=""330""","=""""",,"=""2""","=""2""",,
Th,1,"=""404.58180""","=""0.00016""","=""160""","=""""",,"=""6""","=""6""",,
Th,1,"=""404.58516""","=""0.00005""","=""25""","=""""",,"=""2""","=""3""",,
Th,1,"=""404.625205""","=""0.000021""","=""220""","=""""",,"=""1""","=""2""",,
Th,1,"=""404.68246""","=""0.00003""","=""110""","=""""",,"=""2""","=""2""",,
Th,1,"=""404.70589""","=""0.00004""","=""58""","=""""",,"=""2""","=""3""",,
Th,1,"=""404.828749""","=""0.000011""","=""1200""","=""""",,"=""3""","=""3""",,
Th,1,"=""404.843232""","=""0.000013""","=""940""","=""""",,"=""2""","=""3""",,
Th,1,"=""404.953599""","=""0.000020""","=""270""","=""""",,"=""5""","=""4""",,
Th,1,"=""404.994459""","=""0.000010""","=""1800""","=""""",,"=""2""","=""1""",,
Th,1,"=""405.088707""","=""0.000008""","=""2400""","=""""",,"=""6""","=""6""",,
Th,1,"=""405.11937""","=""0.00003""","=""130""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""405.149900""","=""0.000016""","=""430""","=""""",,"=""4""","=""3""",,
Th,1,"=""405.19134""","=""0.00005""","=""28""","=""""",,"=""1""","=""2""",,
Th,1,"=""405.22387""","=""0.00003""","=""70""","=""""",,"=""3""","=""3""",,
Th,1,"=""405.22656""","=""0.00003""","=""90""","=""""",,"=""8""","=""7""",,
Th,1,"=""405.28223""","=""0.00005""","=""34""","=""""",,"=""4""","=""5""",,
Th,1,"=""405.34368""","=""0.00003""","=""75""","=""""",,"=""1""","=""2""",,
Th,1,"=""405.352758""","=""0.000007""","=""4100""","=""""",,"=""4""","=""4""",,
Th,1,"=""405.36757""","=""0.00003""","=""140""","=""""",,"=""3""","=""3""",,
Th,1,"=""405.38415""","=""0.00005""","=""23""","=""""",,"=""2""","=""3""",,
Th,1,"=""405.40801""","=""0.00016""","=""78""","=""""",,"=""2""","=""2""",,
Th,1,"=""405.430163""","=""0.000016""","=""490""","=""""",,"=""3""","=""2""",,
Th,1,"=""405.43856""","=""0.00003""","=""82""","=""""",,"=""3""","=""2""",,
Th,1,"=""405.44109""","=""0.00005""","=""19""","=""""",,"=""4""","=""3""",,
Th,1,"=""405.52204""","=""0.00005""","=""22""","=""""",,"=""4""","=""4""",,
Th,1,"=""405.59071""","=""0.00003""","=""82""","=""""",,"=""3""","=""2""",,
Th,1,"=""405.60077""","=""0.00003""","=""110""","=""""",,"=""1""","=""2""",,
Th,1,"=""405.64004""","=""0.00004""","=""45""","=""""",,"=""1""","=""2""",,
Th,1,"=""405.66359""","=""0.00003""","=""100""","=""""",,"=""4""","=""4""",,
Th,1,"=""405.67180""","=""0.00016""","=""40""","=""""",,"=""4""","=""3""",,
Th,1,"=""405.71257""","=""0.00005""","=""38""","=""""",,"=""2""","=""1""",,
Th,1,"=""405.74782""","=""0.00005""","=""33""","=""""",,"=""3""","=""4""",,
Th,1,"=""405.794107""","=""0.000020""","=""250""","=""""",,"=""3""","=""2""",,
Th,1,"=""405.83191""","=""0.00005""","=""26""","=""""",,"=""7""","=""6 or 7""",,
Th,1,"=""405.89363""","=""0.00004""","=""56""","=""""",,"=""6""","=""5""",,
Th,1,"=""405.925277""","=""0.000007""","=""4000""","=""""",,"=""2""","=""3""",,
Th,1,"=""405.98461""","=""0.00003""","=""71""","=""""",,"=""5""","=""5""",,
Th,1,"=""406.00615""","=""0.00003""","=""75""","=""""",,"=""3""","=""2""",,
Th,1,"=""406.02410""","=""0.00016""","=""20""","=""""",,"=""2""","=""3""",,
Th,1,"=""406.162530""","=""0.000025""","=""160""","=""""",,"=""0""","=""1""",,
Th,1,"=""406.17744""","=""0.00005""","=""37""","=""""",,"=""2""","=""2""",,
Th,1,"=""406.27527""","=""0.00005""","=""36*""","=""""",,"=""4""","=""3""",,
Th,1,"=""406.30559""","=""0.00005""","=""27""","=""""",,"=""3""","=""3""",,
Th,1,"=""406.340706""","=""0.000005""","=""4300""","=""""",,"=""5""","=""6""",,
Th,1,"=""406.35010""","=""0.00005""","=""18""","=""""",,"=""4""","=""3""",,
Th,1,"=""406.433142""","=""0.000010""","=""2000""","=""""",,"=""5""","=""4""",,
Th,1,"=""406.48383""","=""0.00007""","=""15""","=""""",,"=""4""","=""4""",,
Th,1,"=""406.55507""","=""0.00003""","=""95""","=""""",,"=""2""","=""2""",,
Th,1,"=""406.561862""","=""0.000021""","=""220""","=""""",,"=""3""","=""3""",,
Th,1,"=""406.58895""","=""0.00003""","=""73""","=""""",,"=""1""","=""2""",,
Th,1,"=""406.64351""","=""0.00004""","=""48""","=""""",,"=""3""","=""3""",,
Th,1,"=""406.682184""","=""0.000022""","=""220""","=""""",,"=""4""","=""5""",,
Th,1,"=""406.69613""","=""0.00003""","=""64""","=""""",,"=""3""","=""3""",,
Th,1,"=""406.745065""","=""0.000008""","=""2300""","=""""",,"=""3""","=""2""",,
Th,1,"=""406.84702""","=""0.00003""","=""100""","=""""",,"=""4""","=""5""",,
Th,1,"=""406.87050""","=""0.00004""","=""44""","=""""",,"=""2""","=""2""",,
Th,1,"=""406.91094""","=""0.00003""","=""99""","=""""",,"=""2""","=""3""",,
Th,1,"=""406.946114""","=""0.000008""","=""2200""","=""""",,"=""2""","=""1""",,
Th,1,"=""406.94916""","=""0.00004""","=""50""","=""""",,"=""3""","=""2""",,
Th,1,"=""406.99010""","=""0.00017""","=""22""","=""""",,"=""1""","=""2""",,
Th,1,"=""407.004034""","=""0.000023""","=""190""","=""""",,"=""3""","=""3""",,
Th,1,"=""407.01161""","=""0.00003""","=""72""","=""""",,"=""5""","=""4""",,
Th,1,"=""407.023816""","=""0.000010""","=""1400""","=""""",,"=""2""","=""3""",,
Th,1,"=""407.075587""","=""0.000023""","=""200""","=""""",,"=""2""","=""1""",,
Th,1,"=""407.07920""","=""0.00005""","=""37""","=""""",,"=""4""","=""5""",,
Th,1,"=""407.15531""","=""0.00003""","=""110""","=""""",,"=""4""","=""4""",,
Th,1,"=""407.173142""","=""0.000015""","=""580""","=""""",,"=""3""","=""4""",,
Th,1,"=""407.175119""","=""0.000010""","=""2000""","=""""",,"=""2""","=""3""",,
Th,1,"=""407.20029""","=""0.00003""","=""70""","=""""",,"=""1""","=""2""",,
Th,1,"=""407.30064""","=""0.00003""","=""61""","=""""",,"=""2""","=""3""",,
Th,1,"=""407.385616""","=""0.000012""","=""1100""","=""""",,"=""5""","=""4""",,
Th,1,"=""407.39616""","=""0.00003""","=""79""","=""""",,"=""2""","=""2""",,
Th,1,"=""407.44373""","=""0.00004""","=""52""","=""""",,"=""5""","=""6""",,
Th,1,"=""407.48235""","=""0.00005""","=""28""","=""""",,"=""4""","=""3""",,
Th,1,"=""407.550292""","=""0.000008""","=""3200""","=""""",,"=""0""","=""1""",,
Th,1,"=""407.55847""","=""0.00004""","=""57""","=""""",,"=""3""","=""4""",,
Th,1,"=""407.590688""","=""0.000017""","=""440""","=""""",,"=""4""","=""3""",,
Th,1,"=""407.76223""","=""0.00003""","=""100""","=""""",,"=""3""","=""4""",,
Th,1,"=""407.80813""","=""0.00007""","=""16""","=""""",,"=""4""","=""4""",,
Th,1,"=""407.82236""","=""0.00005""","=""25""","=""""",,"=""3""","=""2""",,
Th,1,"=""407.830142""","=""0.000022""","=""230""","=""""",,"=""4""","=""3""",,
Th,1,"=""407.85266""","=""0.00005""","=""34""","=""""",,"=""1""","=""2""",,
Th,1,"=""407.887501""","=""0.000015""","=""660""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""407.92594""","=""0.00003""","=""63""","=""""",,"=""5""","=""6""",,
Th,1,"=""407.92756""","=""0.00003""","=""110""","=""""",,"=""1""","=""1""",,
Th,1,"=""407.970018""","=""0.000022""","=""210""","=""""",,"=""1""","=""2""",,
Th,1,"=""408.035794""","=""0.000012""","=""1100""","=""""",,"=""2""","=""3""",,
Th,1,"=""408.070561""","=""0.000007""","=""3700""","=""""",,"=""4""","=""5""",,
Th,1,"=""408.08398""","=""0.00003""","=""64""","=""""",,"=""2""","=""3""",,
Th,1,"=""408.09398""","=""0.00004""","=""58""","=""""",,"=""3""","=""3""",,
Th,1,"=""408.12420""","=""0.00003""","=""79""","=""""",,"=""2""","=""2""",,
Th,1,"=""408.136766""","=""0.000008""","=""2300""","=""""",,"=""4""","=""3""",,
Th,1,"=""408.159132""","=""0.000020""","=""280""","=""""",,"=""4""","=""4""",,
Th,1,"=""408.23169""","=""0.00005""","=""33""","=""""",,"=""3""","=""2""",,
Th,1,"=""408.24445""","=""0.00003""","=""98""","=""""",,"=""3""","=""3""",,
Th,1,"=""408.28654""","=""0.00003""","=""100""","=""""",,"=""5""","=""4""",,
Th,1,"=""408.346868""","=""0.000008""","=""2600""","=""""",,"=""1""","=""2""",,
Th,1,"=""408.38264""","=""0.00004""","=""51""","=""""",,"=""2""","=""2 or 3""",,
Th,1,"=""408.40891""","=""0.00003""","=""120""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""408.48377""","=""0.00007""","=""16""","=""""",,"=""3""","=""4""",,
Th,1,"=""408.49526""","=""0.00003""","=""87""","=""""",,"=""6""","=""5""",,
Th,1,"=""408.525632""","=""0.000013""","=""920""","=""""",,"=""6""","=""5""",,
Th,1,"=""408.543402""","=""0.000008""","=""2600""","=""""",,"=""4""","=""4""",,
Th,1,"=""408.55558""","=""0.00004""","=""41""","=""""",,"=""3""","=""3""",,
Th,1,"=""408.60458""","=""0.00004""","=""57""","=""""",,"=""1""","=""1""",,
Th,1,"=""408.61938""","=""0.00004""","=""42""","=""""",,"=""3""","=""3""",,
Th,1,"=""408.69364""","=""0.00003""","=""96""","=""""",,"=""5""","=""5""",,
Th,1,"=""408.716491""","=""0.000023""","=""190""","=""""",,"=""4""","=""3""",,
Th,1,"=""408.728467""","=""0.000010""","=""1500""","=""""",,"=""4""","=""4""",,
Th,1,"=""408.79039""","=""0.00005""","=""25""","=""""",,"=""1""","=""2""",,
Th,1,"=""408.85488""","=""0.00005""","=""25""","=""""",,"=""6""","=""6""",,
Th,1,"=""408.862844""","=""0.000022""","=""230""","=""""",,"=""3""","=""4""",,
Th,1,"=""408.872635""","=""0.000010""","=""1600""","=""""",,"=""2""","=""2""",,
Th,1,"=""408.913780""","=""0.000010""","=""2100""","=""""",,"=""3""","=""3""",,
Th,1,"=""408.92654""","=""0.00005""","=""32""","=""""",,"=""5""","=""4""",,
Th,1,"=""409.00413""","=""0.00005""","=""35""","=""""",,"=""4""","=""5""",,
Th,1,"=""409.05858""","=""0.00005""","=""20""","=""""",,"=""5""","=""4""",,
Th,1,"=""409.08060""","=""0.00005""","=""24""","=""""",,"=""5""","=""5""",,
Th,1,"=""409.10283""","=""0.00003""","=""69""","=""""",,"=""3""","=""3""",,
Th,1,"=""409.134751""","=""0.000018""","=""360bl""","=""""",,"=""4""","=""5""",,
Th,1,"=""409.15896""","=""0.00003""","=""150""","=""""",,"=""3""","=""4""",,
Th,1,"=""409.173668""","=""0.000023""","=""170""","=""""",,"=""2""","=""1""",,
Th,1,"=""409.19878""","=""0.00003""","=""170""","=""""",,"=""2""","=""1""",,
Th,1,"=""409.367125""","=""0.000015""","=""670""","=""""",,"=""2""","=""3""",,
Th,1,"=""409.45598""","=""0.00003""","=""97""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""409.46503""","=""0.00004""","=""42""","=""""",,"=""1""","=""2""",,
Th,1,"=""409.490015""","=""0.000018""","=""380""","=""""",,"=""4""","=""4""",,
Th,1,"=""409.51970""","=""0.00003""","=""99""","=""""",,"=""5""","=""4""",,
Th,1,"=""409.52371""","=""0.00004""","=""59""","=""""",,"=""2""","=""3""",,
Th,1,"=""409.607585""","=""0.000010""","=""1600""","=""""",,"=""4""","=""5""",,
