obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Type,
505.29443,0.00030,250,,,,
505.9150,0.0020,20,,,,
507.40459,0.00030,30,6.0e+04,C,,
507.42007,0.00004,350,1.42e+06,C+,,
507.65971,0.00030,350,2.86e+05,C,,
507.87693,0.00030,150,8.6e+04,C,,
508.03830,0.00010,1500,3.39e+06,C+,,
508.1360,0.0020,150,,,,
508.39773,0.00030,250,1.25e+05,C,,
509.0321,0.0020,80,,,,
509.90522,0.00030,250,,,,
510.47011,0.00004,350,,,,
511.36724,0.00004,750,8.67e+05,C+,,
511.65032,0.00004,1500,2.59e+06,C+,,
511.70246,0.00030,350,9.6e+04,C,,
512.05059,0.00030,250,3.47e+05,C,,
512.1866,0.0020,20,,,,
512.22565,0.00004,1500,1.96e+06,C+,,
512.23613,0.00030,1500,6.30e+05,C+,,
512.8280,0.0020,20,,,,
514.3265,0.0020,50,,,,
514.49384,0.00004,5000,3.29e+06,C+,,
514.5011,0.0020,5000,,,,
514.51351,0.00030,350,7.81e+05,C+,,
515.00842,0.00030,350,,,,
515.19610,0.00004,750,1.71e+06,C+,,
515.44271,0.00004,500,1.29e+06,C+,,
515.66672,0.00004,500,1.51e+05,C,,
515.89018,0.00004,500,1.12e+06,C+,,
516.34847,0.00030,100,4.08e+05,C,,
518.2320,0.0020,20,,,,
518.86122,0.00004,1500,,,,
519.13223,0.00004,350,8.66e+05,C+,,
519.31251,0.00030,1500,9.15e+05,C+,,
519.32240,0.00010,1500,1.58e+06,C+,,
520.38962,0.00004,1500,2.31e+06,C+,,
520.6565,0.0020,30,,,,
520.88648,0.00004,700,1.43e+06,C+,,
521.05672,0.00004,500,4.38e+05,C+,,
521.43389,0.00004,350,4.39e+05,C,,
522.23517,0.00004,500,,,,
523.40271,0.00004,500,,,,
527.40393,0.00004,400,,,,
528.00853,0.00004,500,,,,
529.81891,0.00004,1500,,,,
530.47580,0.00004,700,,,,
531.47851,0.00030,300,,,,
531.68046,0.00030,250,,,,
532.0550,0.0020,20,,,,
532.63960,0.00010,750,5.49e+05,C+,,
533.06720,0.00030,5,6.94e+05,C+,,
533.07775,0.00004,6000,5.30e+06,C+,,
533.33083,0.00030,500,4.70e+05,C+,,
533.5710,0.0020,100,5.2e+04,C,,
534.10938,0.00004,10000,7.74e+06,C+,,
534.2700,0.0020,10,,,,
534.30048,0.00030,100,,,,
534.32834,0.00004,6000,9.76e+06,C+,,
534.92038,0.00004,1500,,,,
535.3513,0.0020,50,,,,
535.51640,0.00030,1500,3.35e+05,C+,,
535.53394,0.00030,50,1.18e+05,C,,
535.54236,0.00030,1500,,,,
535.8020,0.0020,100,,,,
536.00121,0.00004,1500,,,,
536.04271,0.00030,350,1.89e+05,C,,
536.22334,0.00030,250,6.9e+04,C,,
536.62169,0.00030,250,8.7e+04,C,,
537.23110,0.00004,750,,,,
537.49750,0.00010,500,6.44e+05,C+,,
538.32457,0.00030,250,1.80e+05,C,,
540.05616,0.00004,20000,9.00e+05,B+,,
541.012,0.002,50,,,,
541.26490,0.00004,2500,3.01e+05,C+,,
541.85584,0.00004,1500,3.78e+05,C,,
542.0155,0.0020,500,4.33e+05,C,,
543.36513,0.00004,2500,2.83e+05,B+,,
544.7120,0.0020,80,,,,
544.85091,0.00004,1500,4.65e+05,B+,,
549.44158,0.00004,500,,,,
550.73442,0.00030,250,,,,
551.1176,0.0020,30,,,,
551.1485,0.0020,150,,,,
552.063,0.002,30,,,,
553.36788,0.00004,750,,,,
553.86510,0.00004,500,,,,
555.90978,0.00030,350,,,,
556.24416,0.00030,1500,1.43e+05,C,,
556.27662,0.00004,5000,9.88e+05,C+,,
556.30531,0.00030,750,1.02e+05,C,,
557.60394,0.00030,350,,,,
558.5905,0.0020,50,,,,
558.93472,0.00030,500,,,,
559.115,0.002,80,,,,
565.25664,0.00004,750,7.37e+05,C+,,
565.60258,0.00030,750,3.66e+05,C+,,
565.66588,0.00004,5000,2.95e+06,C+,,
566.25489,0.00004,750,5.31e+05,B+,,
568.4647,0.0020,250,,,,
568.98163,0.00004,1500,1.41e+06,B+,,
571.53409,0.00030,350,,,,
571.88798,0.00030,1500,2.54e+05,C+,,
571.92248,0.00004,5000,9.84e+05,C+,,
571.95300,0.00030,750,1.96e+05,C,,
574.82985,0.00004,5000,3.34e+06,C+,,
574.86446,0.00030,700,2.53e+05,C+,,
576.05885,0.00004,700,5.06e+05,C+,,
576.40525,0.00030,30,5.50e+05,C+,,
576.44188,0.00004,7000,1.12e+07,B,,
577.03067,0.00030,500,4.04e+05,C+,,
580.40900,0.00030,750,1.88e+05,C+,,
580.44496,0.00004,5000,3.60e+06,C+,,
581.14066,0.00004,3000,7.37e+05,C+,,
581.66219,0.00030,500,1.73e+05,C,,
582.01558,0.00004,5000,8.60e+06,C+,,
582.89063,0.00030,750,2.87e+05,C,,
585.24878,0.00005,20000,6.15e+07,AA,,
586.84165,0.00030,750,8.26e+05,C+,,
587.21450,0.00030,750,6.69e+05,C+,,
587.28275,0.00004,5000,6.07e+06,C+,,
588.18950,0.00005,10000,1.15e+07,B+,,
589.83287,0.00030,200,2.01e+05,C,,
590.20944,0.00030,30,7.35e+05,C+,,
590.24623,0.00004,500,8.56e+06,C+,,
590.27835,0.00004,50,1.25e+06,C+,,
590.64294,0.00004,500,4.51e+06,C+,,
591.36330,0.00010,2500,3.19e+06,C+,,
591.89068,0.00004,2500,2.97e+06,C+,,
591.90290,0.00040,80,4.15e+05,C+,,
